0,1,2,3,4
Яйца,Говядина,Соль,Хлеб,Говядина
Фрукты,Овощи,Кофе,,
Сок,Овощи,Молоко,,
Рыба,Овощи,Чай,Курица,
Рыба,Соль,,,
Яйца,Мука,Картошка,Кофе,
Яблоки,Бананы,,,
Перец,Хлеб,Говядина,Яблоки,
Морковь,Кофе,Перец,Курица,
Перец,Перец,Яйца,Морковь,Бананы
Рыба,Картошка,Морковь,,
Мука,Перец,Овощи,Консервы,Чай
Хлеб,Чай,,,
Яйца,Мясо,Сыр,,
Соль,Молоко,Сахар,,
Бананы,Огурцы,Яблоки,Курица,
Сладости,Напитки,Кофе,,
Чай,Напитки,,,
Чай,Хлеб,Овощи,Соль,
Томаты,Бананы,Картошка,Бакалея,
Консервы,Томаты,Говядина,Курица,
Бакалея,Сахар,Фрукты,Сладости,Огурцы
Консервы,Говядина,Яйца,,
Соль,Томаты,Мясо,Бананы,
Сыр,Сахар,Яблоки,,
Сахар,Бакалея,,,
Яйца,Кофе,Мука,Соль,
Томаты,Молоко,Курица,Консервы,
Говядина,Хлеб,Картошка,,
Сахар,Говядина,,,
Яблоки,Перец,Картошка,Огурцы,Хлеб
Овощи,Рыба,Мясо,Лук,
Овощи,Яблоки,Сыр,,
Фрукты,Сыр,Яйца,,
Яблоки,Сыр,Курица,,
Мясо,Кофе,,,
Бакалея,Мука,Рыба,Сыр,Овощи
Молоко,Томаты,,,
Мука,Консервы,Соль,Напитки,
Сок,Сок,Сладости,Лук,Напитки
Перец,Рыба,Соль,,
Рыба,Консервы,Морковь,Чай,
Курица,Напитки,,,
Масло,Кофе,Морковь,,
Мука,Молоко,Сладости,Бананы,Мука
Курица,Молоко,,,
Мука,Томаты,Чай,Лук,Сахар
Сладости,Чай,,,
Огурцы,Сыр,Перец,Фрукты,
Яблоки,Сладости,Картошка,,
Томаты,Яблоки,Рыба,,
Соль,Яблоки,Кофе,,
Хлеб,Говядина,Сок,Хлеб,
Напитки,Кофе,Сахар,,
Томаты,Курица,Консервы,Масло,Морковь
Напитки,Кофе,,,
Чай,Говядина,Напитки,Чай,Говядина
Бакалея,Огурцы,Сок,,
Молоко,Сладости,,,
Бананы,Сок,Рыба,Фрукты,Напитки
Мясо,Томаты,Сахар,Мясо,Сыр
Сыр,Томаты,Фрукты,Сыр,Яйца
Сахар,Овощи,,,
Перец,Картошка,Рыба,Кофе,Овощи
Томаты,Напитки,Сахар,,
Перец,Хлеб,,,
Яблоки,Яйца,Мясо,,
Кофе,Овощи,,,
Томаты,Консервы,,,
Томаты,Консервы,,,
Перец,Сыр,Бананы,Хлеб,
Перец,Чай,,,
Мука,Курица,Огурцы,Морковь,Говядина
Яйца,Курица,Фрукты,,
Картошка,Перец,Мука,Курица,Овощи
Яйца,Бакалея,Мука,Молоко,Мука
Сыр,Бакалея,Фрукты,,
Яйца,Фрукты,,,
Сахар,Масло,Консервы,Чай,
Соль,Мясо,Перец,,
Огурцы,Перец,Сладости,,
Бананы,Курица,Сахар,Сахар,
Овощи,Томаты,Морковь,Молоко,Фрукты
Бакалея,Кофе,,,
Хлеб,Яблоки,Овощи,Молоко,Сыр
Напитки,Сыр,Консервы,,
Огурцы,Перец,,,
Масло,Овощи,Сок,Сыр,Консервы
Лук,Говядина,,,
Яйца,Масло,Чай,,
Чай,Лук,Молоко,Яйца,
Картошка,Фрукты,Сыр,,
Морковь,Курица,Яблоки,Мясо,
Консервы,Соль,Огурцы,Курица,Яблоки
Лук,Кофе,Сладости,Чай,Лук
Сладости,Масло,Яблоки,Кофе,
Перец,Напитки,Яйца,Масло,Масло
Мука,Перец,Кофе,Сахар,
Чай,Овощи,,,
Напитки,Консервы,Напитки,,
Сахар,Сахар,,,
Фрукты,Морковь,,,
Масло,Картошка,Соль,Морковь,Консервы
Молоко,Лук,Лук,,
Яйца,Хлеб,,,
Соль,Картошка,Молоко,Напитки,Огурцы
Соль,Сыр,,,
Огурцы,Картошка,Яйца,Консервы,Фрукты
Сыр,Молоко,Масло,Курица,Хлеб
Сок,Бананы,,,
Сладости,Картошка,Сыр,Бананы,
Фрукты,Овощи,,,
Курица,Говядина,Сладости,Рыба,Морковь
Напитки,Мясо,Лук,Чай,Говядина
Яблоки,Картошка,,,
Сахар,Перец,Яйца,,
Консервы,Масло,Овощи,,
Напитки,Томаты,Сахар,Мука,
Бананы,Рыба,Овощи,Яйца,Курица
Овощи,Бакалея,Сахар,,
Консервы,Мука,Сыр,,
Перец,Говядина,Яйца,Картошка,
Овощи,Молоко,Рыба,Мясо,
Молоко,Лук,Консервы,,
Сок,Бакалея,Огурцы,,
Овощи,Молоко,,,
Хлеб,Огурцы,Консервы,Чай,
Огурцы,Напитки,Соль,Морковь,
Консервы,Сыр,Хлеб,Говядина,
Лук,Яйца,Морковь,,
Рыба,Сахар,Томаты,Мясо,
Молоко,Фрукты,,,
Огурцы,Бакалея,Хлеб,Огурцы,Сахар
Овощи,Мука,,,
Курица,Масло,Яблоки,Бакалея,Рыба
Сыр,Овощи,Бананы,Бакалея,Консервы
Курица,Хлеб,Сыр,Мясо,Курица
Яйца,Рыба,Мясо,Напитки,
Кофе,Перец,Томаты,Сахар,Перец
Сок,Сыр,Сладости,Лук,
Сладости,Сахар,Напитки,,
Огурцы,Огурцы,Хлеб,,
Бакалея,Яблоки,Масло,Яблоки,Бакалея
Кофе,Масло,Фрукты,Яблоки,Бананы
Картошка,Кофе,Сахар,Напитки,
Молоко,Овощи,Мясо,Яйца,Сыр
Мука,Лук,Масло,Морковь,Сок
Бананы,Говядина,Фрукты,,
Сахар,Картошка,Соль,Лук,Говядина
Бананы,Мука,,,
Сыр,Молоко,Яблоки,,
Молоко,Томаты,,,
Лук,Бакалея,,,
Овощи,Яблоки,Мука,Кофе,Яблоки
Консервы,Яблоки,,,
Хлеб,Хлеб,Овощи,,
Сок,Сок,,,
Молоко,Мясо,,,
Сладости,Сыр,,,
Морковь,Говядина,Хлеб,Сахар,
Напитки,Фрукты,,,
Сахар,Бананы,,,
Лук,Яблоки,Масло,,
Курица,Кофе,,,
Сок,Томаты,,,
Хлеб,Бананы,Сладости,Кофе,
Яйца,Кофе,Сахар,Сладости,Сладости
Соль,Соль,Бакалея,Овощи,
Яблоки,Картошка,,,
Сладости,Фрукты,Молоко,Яблоки,
Яблоки,Яйца,,,
Сладости,Картошка,,,
Фрукты,Картошка,Бакалея,,
Рыба,Фрукты,,,
Огурцы,Курица,,,
Мясо,Напитки,Говядина,,
Говядина,Сахар,Хлеб,Яблоки,Огурцы
Бакалея,Масло,,,
Курица,Бакалея,,,
Картошка,Напитки,Консервы,Томаты,
Соль,Хлеб,Огурцы,,
Томаты,Фрукты,Бананы,,
Томаты,Перец,Соль,Фрукты,
Яйца,Говядина,Рыба,,
Огурцы,Томаты,Мука,,
Говядина,Сахар,,,
Бананы,Кофе,Соль,Лук,Сладости
Рыба,Фрукты,Картошка,Чай,Фрукты
Морковь,Огурцы,Сахар,,
Морковь,Хлеб,Бакалея,,
Мука,Рыба,Говядина,,
Мясо,Молоко,Бакалея,Сахар,Молоко
Консервы,Фрукты,Бананы,Яйца,
Бакалея,Картошка,Огурцы,Картошка,
Огурцы,Бананы,Рыба,,
Молоко,Масло,Говядина,Курица,Консервы
Молоко,Овощи,Курица,Яйца,
Яйца,Фрукты,Курица,Томаты,Овощи
Рыба,Соль,Сок,Яблоки,Сахар
Бакалея,Морковь,Курица,Хлеб,
Говядина,Сладости,Курица,Лук,
Морковь,Напитки,Бананы,Бананы,
Говядина,Сок,Огурцы,Овощи,Яблоки
Морковь,Бананы,Огурцы,Чай,Чай
Кофе,Мука,,,
Перец,Сыр,Томаты,Говядина,
Курица,Фрукты,Томаты,,
Сок,Фрукты,Консервы,Яйца,Мясо
Молоко,Консервы,,,
Молоко,Рыба,Сахар,,
Перец,Консервы,,,
Перец,Картошка,,,
Напитки,Сладости,,,
Сладости,Огурцы,,,
Бакалея,Масло,,,
Мясо,Фрукты,Мука,Огурцы,
Хлеб,Фрукты,Хлеб,,
Масло,Консервы,,,
Курица,Консервы,Морковь,,
Сахар,Мука,Молоко,Консервы,Говядина
Сыр,Соль,Консервы,,
Картошка,Сыр,Овощи,Масло,Лук
Консервы,Морковь,Мясо,,
Морковь,Курица,Картошка,Бакалея,Сладости
Соль,Сладости,Сыр,Фрукты,
Рыба,Сладости,Говядина,,
Хлеб,Яйца,Сок,,
Напитки,Лук,Рыба,,
Лук,Хлеб,Картошка,Молоко,
Перец,Курица,,,
Соль,Бакалея,Мясо,Яблоки,Молоко
Овощи,Молоко,Бананы,Соль,Огурцы
Консервы,Морковь,Масло,Говядина,Бакалея
Молоко,Молоко,Фрукты,,
Лук,Яйца,Масло,,
Мясо,Кофе,Мука,,
Напитки,Перец,,,
Яйца,Сахар,Кофе,Бакалея,Лук
Сладости,Морковь,,,
Огурцы,Фрукты,Морковь,Яблоки,
Овощи,Морковь,Томаты,Бананы,
Мука,Бананы,Рыба,,
Морковь,Бананы,Говядина,,
Хлеб,Сыр,Курица,Перец,Яблоки
Молоко,Курица,,,
Хлеб,Огурцы,,,
Бакалея,Фрукты,Курица,Хлеб,
Бананы,Бакалея,Молоко,Кофе,Мясо
Сахар,Яйца,Бакалея,Рыба,
Масло,Молоко,Чай,,
Бананы,Яблоки,Лук,Яйца,
Сахар,Перец,,,
Бакалея,Сок,Томаты,Сыр,
Сладости,Напитки,Соль,,
Сыр,Сладости,Консервы,Яйца,Сахар
Морковь,Яйца,Томаты,Чай,
Мука,Фрукты,,,
Рыба,Морковь,Огурцы,Бананы,
Перец,Мясо,Хлеб,Мука,
Консервы,Морковь,Консервы,,
Мука,Рыба,,,
Сахар,Бананы,Сладости,,
Картошка,Рыба,Яблоки,,
Сок,Масло,Огурцы,Сыр,
Бананы,Яблоки,Чай,Морковь,
Говядина,Напитки,Хлеб,Сахар,
Яйца,Говядина,,,
Бакалея,Бакалея,Мука,,
Напитки,Бакалея,,,
Сахар,Огурцы,,,
Бакалея,Яблоки,Перец,Говядина,Сладости
Морковь,Рыба,Чай,,
Сыр,Лук,,,
Огурцы,Огурцы,,,
Бакалея,Молоко,Лук,,
Сок,Яйца,Рыба,Кофе,
Овощи,Мука,,,
Хлеб,Хлеб,Рыба,,
Томаты,Сыр,Курица,Сыр,Молоко
Хлеб,Перец,Морковь,Консервы,Хлеб
Фрукты,Бакалея,,,
Хлеб,Морковь,,,
Яблоки,Сыр,Яйца,Сыр,Соль
Овощи,Напитки,Морковь,Сахар,
Морковь,Мясо,Сахар,Яблоки,Яблоки
Бананы,Морковь,Бакалея,Сладости,Огурцы
Сок,Кофе,Чай,Яблоки,Сыр
Чай,Сыр,Бананы,Сок,Фрукты
Консервы,Яйца,Бананы,Сахар,
Яйца,Рыба,,,
Сыр,Говядина,Сахар,Рыба,Морковь
Мука,Бакалея,Говядина,Яблоки,
Сладости,Сахар,Бананы,Мясо,Фрукты
Лук,Мука,Бананы,,
Перец,Сыр,Напитки,,
Сыр,Кофе,Яйца,Сок,Консервы
Масло,Яблоки,Консервы,,
Рыба,Напитки,,,
Сладости,Говядина,Хлеб,Напитки,Овощи
Говядина,Сок,Бакалея,,
Сладости,Молоко,Яблоки,Сок,
Рыба,Хлеб,Овощи,Бакалея,
Масло,Овощи,Мясо,,
Лук,Картошка,Чай,Картошка,
Картошка,Мясо,Сыр,Сок,
Рыба,Соль,Томаты,,
Соль,Бананы,,,
Томаты,Мясо,,,
Сахар,Томаты,,,
Напитки,Огурцы,,,
Хлеб,Сладости,Фрукты,,
Яйца,Яблоки,Сахар,Мука,
Картошка,Курица,Яйца,,
Сладости,Сахар,Сок,,
Сок,Картошка,Сыр,Курица,Чай
Консервы,Мясо,Соль,Сладости,Овощи
Сладости,Огурцы,Картошка,Рыба,Соль
Бакалея,Морковь,Молоко,Чай,
Бананы,Перец,Молоко,,
Говядина,Бакалея,Картошка,Масло,Яблоки
Рыба,Морковь,Чай,Картошка,Мука
Чай,Бакалея,Сок,,
Сахар,Морковь,Бакалея,Яблоки,Сладости
Фрукты,Яблоки,Масло,Масло,
Яйца,Огурцы,Мука,Хлеб,
Перец,Соль,Бананы,Сладости,
Яйца,Яйца,Напитки,Масло,Яблоки
Овощи,Мясо,Мясо,Бананы,Мясо
Бананы,Хлеб,Овощи,Бананы,Бакалея
Кофе,Кофе,Масло,Масло,
Рыба,Сахар,Морковь,Напитки,
Хлеб,Лук,Бананы,Мука,Хлеб
Томаты,Рыба,Напитки,Консервы,Картошка
Мука,Чай,,,
Лук,Сахар,Сладости,Картошка,Овощи
Огурцы,Овощи,Масло,Масло,Сок
Сладости,Фрукты,Томаты,Кофе,Сок
Напитки,Яйца,Яйца,,
Сыр,Консервы,Сладости,Бакалея,Огурцы
Соль,Яблоки,,,
Сахар,Сладости,Масло,,
Огурцы,Бакалея,Рыба,Сыр,Бакалея
Бананы,Томаты,Огурцы,Бакалея,Мясо
Лук,Чай,Молоко,Морковь,Сок
Лук,Хлеб,,,
Курица,Морковь,Бакалея,Перец,
Бананы,Огурцы,Кофе,Перец,
Сахар,Морковь,Бананы,Морковь,
Сахар,Мясо,Морковь,Бакалея,
Сладости,Соль,Курица,,
Напитки,Масло,Хлеб,Томаты,Сыр
Бакалея,Сок,Консервы,Курица,Консервы
Мука,Огурцы,Сыр,Перец,Сладости
Фрукты,Сыр,Кофе,Фрукты,
Мясо,Картошка,Соль,Хлеб,Рыба
Соль,Огурцы,Овощи,Говядина,Яйца
Говядина,Морковь,,,
Консервы,Рыба,Мясо,Хлеб,
Овощи,Яйца,Мясо,,
Рыба,Масло,Чай,Лук,
Рыба,Перец,Говядина,Морковь,
Яйца,Огурцы,Перец,Курица,
Сахар,Сок,Сахар,Бакалея,Морковь
Чай,Напитки,Сыр,,
Фрукты,Овощи,Бакалея,Бананы,Морковь
Картошка,Консервы,,,
Кофе,Хлеб,Кофе,,
Рыба,Напитки,Фрукты,,
Сладости,Сыр,Яйца,,
Яблоки,Морковь,Говядина,,
Фрукты,Огурцы,,,
Томаты,Яблоки,Сладости,Яблоки,Яйца
Сыр,Яблоки,Огурцы,Говядина,Чай
Яйца,Томаты,Кофе,Бананы,
Консервы,Яйца,Картошка,,
Бананы,Мясо,Рыба,Картошка,Соль
Яблоки,Масло,Сыр,,
Морковь,Бакалея,Яйца,Лук,Огурцы
Чай,Напитки,Сыр,Чай,
Картошка,Рыба,Сок,,
Мука,Сладости,Перец,Масло,Мука
Перец,Курица,Мука,,
Бакалея,Рыба,Говядина,Яблоки,
Мука,Фрукты,Соль,,
Томаты,Соль,Кофе,Сахар,Говядина
Лук,Мясо,Картошка,,
Мясо,Бананы,Рыба,,
Молоко,Бакалея,Хлеб,Томаты,
Лук,Сыр,Масло,,
Картошка,Молоко,,,
Масло,Сыр,Сахар,Фрукты,Говядина
Сок,Молоко,,,
Огурцы,Молоко,Сыр,Сок,
Рыба,Сахар,Томаты,Овощи,
Хлеб,Яйца,Перец,,
Овощи,Рыба,Сок,Морковь,
Перец,Морковь,Мука,Чай,
Кофе,Огурцы,,,
Молоко,Овощи,,,
Морковь,Курица,,,
Яйца,Лук,Консервы,,
Мясо,Бананы,Огурцы,Овощи,
Молоко,Консервы,,,
Бананы,Консервы,Фрукты,Курица,
Томаты,Консервы,Бананы,Овощи,Фрукты
Напитки,Овощи,Морковь,Бананы,
Кофе,Бананы,,,
Бананы,Говядина,Огурцы,,
Кофе,Сладости,,,
Сладости,Рыба,Фрукты,Фрукты,
Масло,Масло,Сахар,Фрукты,
Перец,Яйца,,,
Перец,Кофе,Молоко,Курица,
Перец,Яйца,,,
Огурцы,Хлеб,Перец,Курица,Яйца
Сладости,Говядина,Сыр,Консервы,Морковь
Мука,Морковь,Хлеб,,
Говядина,Перец,,,
Огурцы,Сыр,Мясо,Бананы,Яблоки
Бакалея,Сыр,,,
Сахар,Сыр,Бананы,Говядина,Говядина
Сыр,Сладости,Томаты,Сладости,Курица
Фрукты,Чай,Мука,Курица,
Мясо,Фрукты,Томаты,Напитки,Консервы
Говядина,Говядина,Курица,Картошка,
Курица,Чай,,,
Лук,Говядина,Сахар,Рыба,Хлеб
Огурцы,Бананы,Бакалея,Курица,
Фрукты,Сок,Говядина,Яйца,
Лук,Курица,,,
Томаты,Перец,Фрукты,,
Мясо,Фрукты,Томаты,,
Лук,Молоко,Картошка,Лук,Соль
Перец,Напитки,Фрукты,Напитки,
Картошка,Бакалея,,,
Сахар,Огурцы,Говядина,,
Сыр,Чай,,,
Напитки,Фрукты,Чай,,
Чай,Мясо,,,
Картошка,Масло,Сахар,,
Рыба,Лук,,,
Огурцы,Морковь,,,
Соль,Сладости,Овощи,Соль,
Курица,Яблоки,,,
Фрукты,Лук,Фрукты,Мясо,
Говядина,Кофе,Сыр,Перец,
Бакалея,Сок,Сыр,Сладости,
Хлеб,Огурцы,Фрукты,,
Соль,Консервы,Яйца,,
Сахар,Перец,Масло,Хлеб,
Консервы,Картошка,Морковь,Рыба,
Кофе,Консервы,Перец,Бананы,
Чай,Соль,Томаты,Лук,
Томаты,Консервы,Курица,Масло,Мясо
Сыр,Мясо,Говядина,,
Картошка,Мука,,,
Соль,Чай,Томаты,,
Чай,Хлеб,,,
Перец,Консервы,,,
Лук,Кофе,Фрукты,,
Морковь,Фрукты,Бакалея,Кофе,
Чай,Перец,Фрукты,Фрукты,Молоко
Масло,Рыба,,,
Сыр,Бананы,,,
Масло,Яйца,Кофе,Напитки,
Яйца,Консервы,Бакалея,,
Чай,Чай,Яйца,Консервы,Мясо
Соль,Кофе,Чай,,
Сыр,Курица,Молоко,,
Фрукты,Сахар,Чай,Сыр,Сыр
Мясо,Лук,Фрукты,Рыба,Мука
Томаты,Курица,Хлеб,Молоко,Лук
Морковь,Курица,Напитки,,
Яйца,Консервы,Бананы,,
Яблоки,Картошка,Напитки,Сахар,Молоко
Фрукты,Овощи,Сыр,Напитки,Огурцы
Рыба,Фрукты,Картошка,,
Сладости,Консервы,Сыр,Бананы,
Яйца,Масло,Картошка,Молоко,
Сок,Огурцы,,,
Сахар,Бананы,Морковь,Сыр,Консервы
Хлеб,Яблоки,Овощи,Перец,
Сыр,Сыр,Мясо,Говядина,Чай
Мука,Чай,Курица,Томаты,Картошка
Сахар,Кофе,Мясо,Морковь,Огурцы
Масло,Соль,Томаты,,
Кофе,Огурцы,Морковь,,
Сок,Сок,Огурцы,Чай,Сладости
Мука,Морковь,Соль,Рыба,Сладости
Сахар,Сыр,Овощи,Рыба,
Картошка,Напитки,Консервы,Лук,Сок
Сладости,Говядина,Мука,Бакалея,
Рыба,Яйца,Бакалея,Перец,
Томаты,Томаты,Мука,,
Говядина,Масло,Картошка,Овощи,
Яблоки,Лук,Хлеб,Масло,Рыба
Огурцы,Консервы,Яблоки,Овощи,
Фрукты,Томаты,Сыр,Мука,
Говядина,Соль,Чай,Кофе,Хлеб
Масло,Молоко,,,
Мука,Консервы,,,
Масло,Морковь,Кофе,Перец,Мясо
Лук,Сыр,Говядина,,
Огурцы,Напитки,Говядина,Фрукты,Напитки
Кофе,Мясо,Чай,Напитки,Говядина
Мясо,Соль,,,
Фрукты,Томаты,Чай,Морковь,Лук
Бакалея,Консервы,Мясо,Мука,
Курица,Овощи,Яблоки,Фрукты,Морковь
Фрукты,Яблоки,,,
Мука,Напитки,Молоко,Бананы,Огурцы
Морковь,Сыр,Огурцы,,
Перец,Чай,Кофе,,
Бананы,Яйца,,,
Бананы,Сок,Курица,Кофе,Яйца
Фрукты,Картошка,Огурцы,Яйца,
Говядина,Томаты,Томаты,,
Томаты,Масло,Говядина,,
Напитки,Мясо,Напитки,,
Овощи,Сок,Масло,Молоко,Сыр
Огурцы,Томаты,Яблоки,Огурцы,Картошка
Сок,Картошка,Сок,Лук,
Чай,Кофе,Сыр,,
Овощи,Сок,,,
Яблоки,Рыба,Молоко,Овощи,Мука
Картошка,Яйца,,,
Морковь,Масло,Морковь,,
Курица,Огурцы,Сахар,Хлеб,
Бананы,Мясо,Консервы,,
Яйца,Рыба,,,
Бакалея,Картошка,Овощи,Рыба,Хлеб
Томаты,Сладости,Яйца,,
Сыр,Сыр,Масло,,
Курица,Курица,,,
Курица,Яйца,,,
Лук,Хлеб,Консервы,,
Молоко,Сахар,,,
Сахар,Мука,Сладости,Хлеб,
Картошка,Перец,,,
Кофе,Томаты,Морковь,,
Напитки,Картошка,Масло,Яблоки,
Яйца,Огурцы,Кофе,Масло,
Лук,Напитки,,,
Сахар,Овощи,Кофе,,
Огурцы,Чай,,,
Лук,Огурцы,Перец,,
Сыр,Перец,,,
Бананы,Кофе,Томаты,,
Морковь,Томаты,Соль,,
Курица,Курица,Бананы,Яйца,
Соль,Рыба,Лук,,
Напитки,Кофе,Чай,,
Яблоки,Консервы,Сок,,
Курица,Фрукты,Бананы,Рыба,
Масло,Сыр,Яблоки,Яйца,Томаты
Сок,Сыр,Лук,Фрукты,Яйца
Сыр,Яйца,,,
Курица,Сахар,,,
Лук,Мука,Овощи,Сок,Мука
Масло,Огурцы,Перец,,
Хлеб,Говядина,Говядина,,
Томаты,Молоко,Морковь,Яйца,
Томаты,Морковь,Томаты,,
Молоко,Курица,Хлеб,Мясо,Мука
Хлеб,Кофе,Сок,,
Кофе,Курица,Чай,Сахар,
Чай,Томаты,Огурцы,,
Масло,Соль,Лук,Мясо,
Яблоки,Мука,Морковь,Яйца,Курица
Морковь,Соль,Мясо,Курица,Чай
Перец,Масло,,,
Огурцы,Масло,Сахар,,
Соль,Молоко,Яблоки,,
Лук,Огурцы,Яйца,,
Томаты,Фрукты,,,
Сладости,Огурцы,,,
Сок,Яйца,Бакалея,,
Сахар,Чай,Сыр,,
Напитки,Бакалея,,,
Консервы,Молоко,Соль,Курица,Томаты
Консервы,Сладости,Соль,Бананы,Яйца
Курица,Огурцы,Бананы,,
Томаты,Мясо,,,
Хлеб,Картошка,Огурцы,Бананы,Огурцы
Морковь,Сыр,Мука,Овощи,Бананы
Сыр,Сахар,Морковь,Консервы,Сахар
Сыр,Томаты,,,
Хлеб,Овощи,,,
Томаты,Фрукты,Кофе,Соль,
Перец,Овощи,Картошка,,
Напитки,Яблоки,Молоко,Хлеб,
Яблоки,Перец,,,
Говядина,Молоко,Яйца,,
Курица,Овощи,,,
Сладости,Картошка,Овощи,Яйца,Напитки
Картошка,Морковь,,,
Чай,Бананы,,,
Сыр,Огурцы,,,
Фрукты,Мясо,Яйца,Сыр,
Сыр,Консервы,Курица,Хлеб,
Мясо,Яблоки,Морковь,Молоко,Сладости
Хлеб,Кофе,Яблоки,Овощи,Огурцы
Сок,Молоко,,,
Томаты,Перец,Яйца,Сыр,Мясо
Масло,Бананы,,,
Масло,Перец,Овощи,Молоко,Рыба
Молоко,Морковь,Чай,Хлеб,
Перец,Бананы,Масло,Хлеб,
Молоко,Мясо,Яйца,,
Мука,Томаты,Говядина,,
Кофе,Морковь,,,
Томаты,Яблоки,Сахар,Сыр,
Сок,Картошка,,,
Перец,Фрукты,Фрукты,Хлеб,
Огурцы,Лук,,,
Хлеб,Соль,Томаты,Яйца,
Перец,Кофе,Яйца,,
Картошка,Яблоки,,,
Говядина,Напитки,Кофе,,
Фрукты,Молоко,Яблоки,,
Сыр,Консервы,Кофе,Кофе,Молоко
Напитки,Чай,Морковь,Бакалея,
Мука,Бананы,,,
Картошка,Соль,Сладости,Овощи,Овощи
Напитки,Сладости,Картошка,Курица,
Хлеб,Молоко,Чай,,
Хлеб,Перец,Яблоки,,
Соль,Говядина,Мясо,,
Рыба,Сладости,Яйца,Овощи,
Хлеб,Бакалея,Сладости,Молоко,Лук
Томаты,Огурцы,,,
Рыба,Яйца,Фрукты,Молоко,
Соль,Масло,,,
Молоко,Сладости,Бананы,Морковь,
Томаты,Консервы,,,
Соль,Хлеб,Фрукты,Овощи,Сок
Напитки,Консервы,Говядина,Картошка,Курица
Морковь,Яблоки,Молоко,,
Лук,Перец,Мука,Бананы,
Яйца,Говядина,Томаты,Томаты,
Молоко,Сок,Мука,Фрукты,Томаты
Чай,Сыр,Бананы,,
Овощи,Мука,,,
Молоко,Фрукты,Чай,,
Сок,Бакалея,Перец,Огурцы,Сахар
Говядина,Мука,,,
Кофе,Мясо,Перец,Бакалея,
Хлеб,Соль,,,
Яйца,Морковь,,,
Курица,Яйца,Чай,,
Яблоки,Морковь,,,
Кофе,Сахар,Молоко,Морковь,Рыба
Бананы,Напитки,Рыба,Бакалея,
Овощи,Молоко,Лук,Морковь,
Соль,Молоко,Кофе,Молоко,Рыба
Молоко,Сладости,Яблоки,Сок,Картошка
Напитки,Мука,Овощи,Сыр,Мясо
Рыба,Сыр,Соль,Бананы,
Консервы,Рыба,Морковь,,
Морковь,Огурцы,Лук,,
Консервы,Курица,,,
Чай,Морковь,Морковь,,
Картошка,Консервы,,,
Бананы,Молоко,Яйца,,
Томаты,Овощи,Бананы,Бананы,
Яблоки,Огурцы,Молоко,,
Напитки,Сок,Яблоки,Напитки,
Курица,Хлеб,Хлеб,Яблоки,Яблоки
Соль,Напитки,,,
Морковь,Мука,Мука,Кофе,Мука
Говядина,Мясо,Молоко,Бакалея,Напитки
Яйца,Молоко,Перец,Соль,Мясо
Бананы,Сахар,Мясо,Молоко,
Хлеб,Морковь,,,
Говядина,Томаты,Фрукты,Мука,Мука
Сладости,Рыба,Морковь,Рыба,
Бананы,Сок,Бакалея,,
Молоко,Сладости,Томаты,Фрукты,
Томаты,Сахар,Мука,Мясо,Рыба
Фрукты,Яблоки,,,
Мясо,Овощи,,,
Мука,Сахар,Сок,Напитки,
Фрукты,Яблоки,,,
Бананы,Картошка,,,
Консервы,Масло,,,
Морковь,Говядина,Сыр,,
Рыба,Сыр,Сыр,Говядина,Молоко
Огурцы,Кофе,Рыба,Чай,
Картошка,Соль,,,
Кофе,Фрукты,Мука,,
Мясо,Сахар,,,
Молоко,Мука,Масло,Яйца,Морковь
Сыр,Перец,Хлеб,Сладости,Лук
Перец,Огурцы,Бананы,Рыба,Яблоки
Соль,Яйца,Сок,Говядина,Напитки
Чай,Напитки,Бакалея,Напитки,
Напитки,Бананы,Картошка,Огурцы,
Молоко,Консервы,Перец,Кофе,
Лук,Сахар,Томаты,,
Кофе,Яйца,Консервы,,
Морковь,Масло,Рыба,Соль,
Картошка,Масло,,,
Лук,Курица,,,
Хлеб,Бананы,Сок,Морковь,Мясо
Курица,Напитки,Картошка,Рыба,Мясо
Бакалея,Перец,Лук,Консервы,Бакалея
Яйца,Огурцы,Курица,Мясо,
Мука,Напитки,Сладости,Сладости,Сахар
Яйца,Рыба,Масло,Молоко,
Сахар,Овощи,,,
Мука,Кофе,,,
Соль,Кофе,Яблоки,,
Морковь,Кофе,,,
Сахар,Чай,Огурцы,Лук,
Лук,Морковь,Сыр,,
Томаты,Сыр,,,
Сахар,Кофе,Яблоки,Масло,Масло
Молоко,Лук,Сыр,Мясо,Томаты
Томаты,Фрукты,Масло,,
Мука,Мука,Бананы,,
Соль,Яйца,Огурцы,Кофе,
Лук,Сок,Курица,Мука,Сок
Курица,Напитки,Овощи,Молоко,Мясо
Перец,Консервы,Говядина,,
Овощи,Яблоки,Напитки,Морковь,
Огурцы,Яблоки,Чай,Лук,
Консервы,Консервы,Лук,Сладости,Бананы
Сладости,Хлеб,,,
Огурцы,Перец,Консервы,Сахар,Яйца
Сладости,Консервы,,,
Хлеб,Говядина,Соль,Консервы,Рыба
Соль,Консервы,Напитки,Консервы,
Сыр,Бананы,Яблоки,Кофе,Перец
Мука,Напитки,Бакалея,,
Консервы,Курица,,,
Картошка,Чай,Говядина,Напитки,Хлеб
Сладости,Сахар,,,
Фрукты,Говядина,Кофе,Консервы,Говядина
Бакалея,Сок,Бакалея,Сок,Лук
Яйца,Сладости,Томаты,Томаты,
Соль,Яблоки,Кофе,Курица,
